date,sales
2017-04-04,32
2017-04-05,34
2017-04-06,38
2017-04-07,32
2017-04-08,43
2017-04-09,37
2017-04-10,27
2017-04-11,21
2017-04-12,25
2017-04-13,22
2017-04-14,35
2017-04-15,48
2017-04-16,42
2017-04-17,26
2017-04-18,37
2017-04-19,37
2017-04-20,40
2017-04-21,34
2017-04-22,40
2017-04-23,34
2017-04-24,35
2017-04-25,24
2017-04-26,40
2017-04-27,34
2017-04-28,34
2017-04-29,31
2017-04-30,33
2017-05-01,25
2017-05-02,33
2017-05-03,45
2017-05-04,32
2017-05-05,35
2017-05-06,38
2017-05-07,51
2017-05-08,21
2017-05-09,32
2017-05-10,35
2017-05-11,27
2017-05-12,45
2017-05-13,40
2017-05-14,50
2017-05-15,21
2017-05-16,37
2017-05-17,28
2017-05-18,41
2017-05-19,41
2017-05-20,31
2017-05-21,49
2017-05-22,25
2017-05-23,27
2017-05-24,28
2017-05-25,41
2017-05-26,40
2017-05-27,47
2017-05-28,36
2017-05-29,29
2017-05-30,35
2017-05-31,29
2017-06-01,41
2017-06-02,44
2017-06-03,38
2017-06-04,51
2017-06-05,32
2017-06-06,39
2017-06-07,39
2017-06-08,37
2017-06-09,44
2017-06-10,45
2017-06-11,43
2017-06-12,18
2017-06-13,31
2017-06-14,43
2017-06-15,38
2017-06-16,33
2017-06-17,42
2017-06-18,57
2017-06-19,35
2017-06-20,37
2017-06-21,39
2017-06-22,29
2017-06-23,31
2017-06-24,43
2017-06-25,43
2017-06-26,17
2017-06-27,31
2017-06-28,33
2017-06-29,42
2017-06-30,39
2017-07-01,44
2017-07-02,48
2017-07-03,42
2017-07-04,29
2017-07-05,35
2017-07-06,44
2017-07-07,44
2017-07-08,53
2017-07-09,53
2017-07-10,38
2017-07-11,49
2017-07-12,45
2017-07-13,40
2017-07-14,46
2017-07-15,50
2017-07-16,53
2017-07-17,31
2017-07-18,40
2017-07-19,44
2017-07-20,38
2017-07-21,33
2017-07-22,55
2017-07-23,47
2017-07-24,38
2017-07-25,43
2017-07-26,30
2017-07-27,34
2017-07-28,55
2017-07-29,44
2017-07-30,43
2017-07-31,38
2017-08-01,34
2017-08-02,36
2017-08-03,31
2017-08-04,37
2017-08-05,45
2017-08-06,37
2017-08-07,31
2017-08-08,29
2017-08-09,39
2017-08-10,41
2017-08-11,50
2017-08-12,42
2017-08-13,35
2017-08-14,27
2017-08-15,38
2017-08-16,35
2017-08-17,38
2017-08-18,41
2017-08-19,37
2017-08-20,44
2017-08-21,39
2017-08-22,28
2017-08-23,29
2017-08-24,33
2017-08-25,33
2017-08-26,43
2017-08-27,43
2017-08-28,39
2017-08-29,20
2017-08-30,27
2017-08-31,39
2017-09-01,42
2017-09-02,39
2017-09-03,39
2017-09-04,32
2017-09-05,24
2017-09-06,29
2017-09-07,33
2017-09-08,29
2017-09-09,49
2017-09-10,35
2017-09-11,31
2017-09-12,33
2017-09-13,28
2017-09-14,29
2017-09-15,38
2017-09-16,36
2017-09-17,47
2017-09-18,26
2017-09-19,30
2017-09-20,23
2017-09-21,38
2017-09-22,28
2017-09-23,35
2017-09-24,38
2017-09-25,32
2017-09-26,24
2017-09-27,30
2017-09-28,29
2017-09-29,42
2017-09-30,32
2017-10-01,42
2017-10-02,21
2017-10-03,28
2017-10-04,23
2017-10-05,36
2017-10-06,47
2017-10-07,30
2017-10-08,42
2017-10-09,16
2017-10-10,37
2017-10-11,39
2017-10-12,33
2017-10-13,32
2017-10-14,34
2017-10-15,36
2017-10-16,27
2017-10-17,29
2017-10-18,25
2017-10-19,20
2017-10-20,38
2017-10-21,43
2017-10-22,33
2017-10-23,28
2017-10-24,37
2017-10-25,29
2017-10-26,43
2017-10-27,28
2017-10-28,34
2017-10-29,34
2017-10-30,32
2017-10-31,22
2017-11-01,35
2017-11-02,35
2017-11-03,33
2017-11-04,46
2017-11-05,38
2017-11-06,28
2017-11-07,28
2017-11-08,29
2017-11-09,28
2017-11-10,32
2017-11-11,38
2017-11-12,33
2017-11-13,21
2017-11-14,32
2017-11-15,19
2017-11-16,28
2017-11-17,34
2017-11-18,45
2017-11-19,45
2017-11-20,27
2017-11-21,41
2017-11-22,33
2017-11-23,41
2017-11-24,38
2017-11-25,26
2017-11-26,44
2017-11-27,29
2017-11-28,36
2017-11-29,24
2017-11-30,31
2017-12-01,31
2017-12-02,24
2017-12-03,20
2017-12-04,10
2017-12-05,14
2017-12-06,12
2017-12-07,21
2017-12-08,27
2017-12-09,29
2017-12-10,29
2017-12-11,16
2017-12-12,20
2017-12-13,23
2017-12-14,18
2017-12-15,25
2017-12-16,30
2017-12-17,45
2017-12-18,20
2017-12-19,16
2017-12-20,19
2017-12-21,21
2017-12-22,28
2017-12-23,18
2017-12-24,28
2017-12-25,18
2017-12-26,25
2017-12-27,19
2017-12-28,21
2017-12-29,18
2017-12-30,24
2017-12-31,31
